dorm,BUILDING_N,FACILITIES
Alexander Hall,ALEXANDER HALL,51
Christensen Hall,CHRISTENSEN HALL,96
Congreve Hall,CONGREVE HALL,20
Devine Hall,DEVINE HALL,78
Eaton House,EATON HOUSE,145
Engelhardt Hall,ENGELHARDT HALL,44
Fairchild Hall,FAIRCHILD HALL,15
Gables North,GABLES NORTH,396
Gables South,GABLES SOUTH,397
Gibbs Hall,GIBBS HALL,45
Haaland Hall,HAALAND HALL,303
Hall House,HALL HOUSE,146
Handler Hall,HANDLER HALL,301
Hetzel Hall,HETZEL HALL,22
Hitchcock Hall,HITCHCOCK HALL,59
Hubbard Hall,HUBBARD HALL,85
Hunter Hall,HUNTER HALL,46
Jessie Doe Hall,JESSIE DOE HALL,68
Lord Hall,LORD HALL,58
Marston House,MARSTON HOUSE,147
Mclaughlin Hall,MCLAUGHLIN HALL,55
Mills Hall,MILLS HALL,16
Peterson Hall,PETERSON HALL,302
Randall Hall,RANDALL HALL,79
Richardson House,RICHARDSON HOUSE,148
Sawyer Hall,SAWYER HALL,52
Scott Hall,SCOTT HALL,30
Stoke Hall,STOKE HALL,77
The Gables - A,GABLES BUILDING A,161
The Gables - B,GABLES BUILDING B,162
The Gables - C,GABLES BUILDING C,163
Williamson Hall,WILLIAMSON HALL,112
Woodside Apts. A,WOODSIDE APARTMENTS A-C,281
Woodside Apts. B,WOODSIDE APARTMENTS A-C,281
Woodside Apts. C,WOODSIDE APARTMENTS A-C,281
Woodside Apts. D,WOODSIDE APARTMENTS D-F,282
Woodside Apts. E,WOODSIDE APARTMENTS D-F,282
Woodside Apts. F,WOODSIDE APARTMENTS D-F,282
Woodside Apts. G,WOODSIDE APARTMENTS G-I,283
Woodside Apts. H,WOODSIDE APARTMENTS G-I,283
Woodside Apts. I,WOODSIDE APARTMENTS G-I,283
Woodside Apts. J,WOODSIDE APARTMENTS J-L,284
Woodside Apts. K,WOODSIDE APARTMENTS J-L,284
Woodside Apts. L,WOODSIDE APARTMENTS J-L,284
Woodside Apts. M,WOODSIDE APARTMENTS M-O,285
Woodside Apts. N,WOODSIDE APARTMENTS M-O,285
Woodside Apts. O,WOODSIDE APARTMENTS M-O,285
Woodside Apts. P,WOODSIDE APTS P-R,286
Woodside Apts. Q,WOODSIDE APTS P-R,286
Woodside Apts. R,WOODSIDE APTS P-R,286
